"KEGG","Description"
"ath00730","Thiamine metabolism - Arabidopsis thaliana (thale cress)"
"ath00740","Riboflavin metabolism - Arabidopsis thaliana (thale cress)"
"ath00750","Vitamin B6 metabolism - Arabidopsis thaliana (thale cress)"
"ath00760","Nicotinate and nicotinamide metabolism - Arabidopsis thaliana (thale cress)"
"ath00770","Pantothenate and CoA biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00780","Biotin metabolism - Arabidopsis thaliana (thale cress)"
"ath00785","Lipoic acid metabolism - Arabidopsis thaliana (thale cress)"
"ath00790","Folate biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00670","One carbon pool by folate - Arabidopsis thaliana (thale cress)"
"ath00860","Porphyrin metabolism - Arabidopsis thaliana (thale cress)"
"ath00130","Ubiquinone and other terpenoid-quinone biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00900","Terpenoid backbone biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00902","Monoterpenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00909","Sesquiterpenoid and triterpenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00904","Diterpenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00906","Carotenoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00905","Brassinosteroid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00908","Zeatin biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00940","Phenylpropanoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00941","Flavonoid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00944","Flavone and flavonol biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00942","Anthocyanin biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00901","Indole alkaloid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00950","Isoquinoline alkaloid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00960","Tropane, piperidine and pyridine alkaloid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00232","Caffeine metabolism - Arabidopsis thaliana (thale cress)"
"ath00965","Betalain biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00966","Glucosinolate biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00261","Monobactam biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00999","Biosynthesis of various plant secondary metabolites - Arabidopsis thaliana (thale cress)"
"ath03020","RNA polymerase - Arabidopsis thaliana (thale cress)"
"ath03022","Basal transcription factors - Arabidopsis thaliana (thale cress)"
"ath03040","Spliceosome - Arabidopsis thaliana (thale cress)"
"ath03010","Ribosome - Arabidopsis thaliana (thale cress)"
"ath00970","Aminoacyl-tRNA biosynthesis - Arabidopsis thaliana (thale cress)"
"ath03013","Nucleocytoplasmic transport - Arabidopsis thaliana (thale cress)"
"ath03015","mRNA surveillance pathway - Arabidopsis thaliana (thale cress)"
"ath03008","Ribosome biogenesis in eukaryotes - Arabidopsis thaliana (thale cress)"
"ath03060","Protein export - Arabidopsis thaliana (thale cress)"
"ath04141","Protein processing in endoplasmic reticulum - Arabidopsis thaliana (thale cress)"
"ath04130","SNARE interactions in vesicular transport - Arabidopsis thaliana (thale cress)"
"ath04120","Ubiquitin mediated proteolysis - Arabidopsis thaliana (thale cress)"
"ath04122","Sulfur relay system - Arabidopsis thaliana (thale cress)"
"ath03050","Proteasome - Arabidopsis thaliana (thale cress)"
"ath03018","RNA degradation - Arabidopsis thaliana (thale cress)"
"ath03030","DNA replication - Arabidopsis thaliana (thale cress)"
"ath03410","Base excision repair - Arabidopsis thaliana (thale cress)"
"ath03420","Nucleotide excision repair - Arabidopsis thaliana (thale cress)"
"ath03430","Mismatch repair - Arabidopsis thaliana (thale cress)"
"ath03440","Homologous recombination - Arabidopsis thaliana (thale cress)"
"ath03450","Non-homologous end-joining - Arabidopsis thaliana (thale cress)"
"ath03460","Fanconi anemia pathway - Arabidopsis thaliana (thale cress)"
"ath03082","ATP-dependent chromatin remodeling - Arabidopsis thaliana (thale cress)"
"ath03083","Polycomb repressive complex - Arabidopsis thaliana (thale cress)"
"ath03250","Viral life cycle - HIV-1 - Arabidopsis thaliana (thale cress)"
"ath03272","Virion - Hepatitis viruses - Arabidopsis thaliana (thale cress)"
"ath02010","ABC transporters - Arabidopsis thaliana (thale cress)"
"ath04016","MAPK signaling pathway - plant - Arabidopsis thaliana (thale cress)"
"ath04070","Phosphatidylinositol signaling system - Arabidopsis thaliana (thale cress)"
"ath04075","Plant hormone signal transduction - Arabidopsis thaliana (thale cress)"
"ath04082","Neuroactive ligand signaling - Arabidopsis thaliana (thale cress)"
"ath04081","Hormone signaling - Arabidopsis thaliana (thale cress)"
"ath04517","IgSF CAM signaling - Arabidopsis thaliana (thale cress)"
"ath04518","Integrin signaling - Arabidopsis thaliana (thale cress)"
"ath04519","Cadherin signaling - Arabidopsis thaliana (thale cress)"
"ath04144","Endocytosis - Arabidopsis thaliana (thale cress)"
"ath04145","Phagosome - Arabidopsis thaliana (thale cress)"
"ath04142","Lysosome biogenesis - Arabidopsis thaliana (thale cress)"
"ath04146","Peroxisome - Arabidopsis thaliana (thale cress)"
"ath04136","Autophagy - other - Arabidopsis thaliana (thale cress)"
"ath04148","Efferocytosis - Arabidopsis thaliana (thale cress)"
"ath04814","Motor proteins - Arabidopsis thaliana (thale cress)"
"ath04820","Cytoskeleton in muscle cells - Arabidopsis thaliana (thale cress)"
"ath04620","Toll-like receptor signaling pathway - Arabidopsis thaliana (thale cress)"
"ath04981","Folate transport and metabolism - Arabidopsis thaliana (thale cress)"
"ath04382","Cornified envelope formation - Arabidopsis thaliana (thale cress)"
"ath04712","Circadian rhythm - plant - Arabidopsis thaliana (thale cress)"
"ath04626","Plant-pathogen interaction - Arabidopsis thaliana (thale cress)"
"ath05100","Bacterial invasion of epithelial cells - Arabidopsis thaliana (thale cress)"
