"","logFC","logCPM","PValue","FDR"
"AT2G42170",-2.563634332719,2.48280007526318,8.01678509293905e-20,9.28195058144724e-19
"AT3G19130",1.96823227031336,6.01593933725062,8.55045643387255e-20,9.89329118685598e-19
"AT2G40180",3.88498828595396,0.956610610827663,8.71546636222366e-20,1.00775461911876e-18
"AT2G27260",2.05675439965691,4.68525804634431,9.13166962585976e-20,1.05518162636422e-18
"AT2G47930",-2.22618906091539,3.546039201906,9.18231497860643e-20,1.06033297735123e-18
"AT5G12020",5.55181464424243,0.471198119050272,9.55811204667952e-20,1.10299982120197e-18
"AT3G07700",1.93817883648191,7.32602416620588,1.02211033231262e-19,1.17873053692754e-18
"AT4G38840",-2.15546372921982,3.92000348875361,1.04645250419528e-19,1.20600719385933e-18
"AT3G58620",1.95520368034102,6.29402938000049,1.06599794298465e-19,1.22772345436104e-18
"AT5G67390",-3.78205029749259,1.10643500641598,1.12552794876946e-19,1.29543154235263e-18
"AT1G01120",1.92835744834214,8.11517336972415,1.13103802911489e-19,1.30091696467208e-18
"AT1G78660",1.97448571944719,5.86530133526055,1.23254106597287e-19,1.41673342908638e-18
"AT1G54575",2.64314033987143,2.24478633584919,1.27383038319087e-19,1.46323105054704e-18
"AT4G25780",-2.60569697770369,2.36017068939253,1.28020976284006e-19,1.4695933869818e-18
"AT3G15350",1.98646688872979,5.58313502035595,1.29615594974899e-19,1.48692220928226e-18
"AT2G40020",-2.17516299432897,3.76428929686273,1.29704243438382e-19,1.48696346756277e-18
"AT1G52280",1.97385865624536,5.82205457482529,1.3823138969353e-19,1.58368242857929e-18
"AT3G03020",2.05532481103911,4.58123570776768,1.40851362507388e-19,1.61264202404496e-18
"AT3G45060",9.33094249151081,0.184104428784363,1.5745261915892e-19,1.80153412353102e-18
"AT5G19190",-2.03796757786282,4.76778528724321,1.58806020940876e-19,1.81583104258296e-18
"AT5G57760",-2.32384580121816,3.09866161109865,1.60698149576887e-19,1.83626519545929e-18
"AT5G50160",-1.96908743175544,5.86020038635725,1.66544816092241e-19,1.90183084241715e-18
"AT3G17100",-2.05567070097323,4.57466891478434,1.79074249508096e-19,2.04357382777418e-18
"AT5G40460",2.99102741326224,1.6982872188318,1.80302589295092e-19,2.05624929461584e-18
"AT2G35658",3.16122722909015,1.49258496621111,1.92377528785286e-19,2.19252694638406e-18
"AT3G10260",1.93483066997407,6.37466587182988,2.22276246613584e-19,2.53163232543667e-18
"AT5G47730",1.94433433380259,6.00674900549593,2.22908505276453e-19,2.53718059749234e-18
"AT3G49120",1.92230010181599,7.02257643831788,2.27323784534129e-19,2.58575258621352e-18
"AT3G19680",1.93001549863016,6.54804114558963,2.31975434447127e-19,2.63694832278226e-18
"AT5G41100",2.0427247940172,4.54627432996472,2.42265656099968e-19,2.75213155659242e-18
"AT2G02080",-2.12940413592908,3.90774603585483,2.44566105310708e-19,2.77646053191371e-18
"AT5G63780",-1.92565119184367,6.71092828639631,2.52204151459162e-19,2.86109782910195e-18
"AT5G53060",2.00452097620323,4.97613936093348,2.52348730336624e-19,2.86109782910195e-18
"AT5G56760",1.93975915933762,6.04533699238609,2.55459873729867e-19,2.89449447337606e-18
"AT1G04280",-2.18373320145381,3.58844429956813,2.57919989072236e-19,2.92047614569294e-18
"AT4G12790",1.93955409897665,6.04160310510311,2.58622645095737e-19,2.92653702537784e-18
"AT5G54270",-1.89981253083516,9.05674114300823,2.96865864090668e-19,3.35711895336167e-18
"AT4G01670",-3.84570105538077,1.0183951769335,3.01341491013119e-19,3.40552895111982e-18
"AT3G21220",1.96705513130304,5.52799401301887,3.09564189256812e-19,3.49619555605739e-18
"AT3G07360",1.93172378629673,6.14355363987307,3.15091318533298e-19,3.55632118910113e-18
"AT1G68780",-2.19083341940725,3.52701549301567,3.15677350121601e-19,3.56063684656513e-18
"AT2G15880",-3.44473032103957,1.27046039897605,3.16891099855876e-19,3.57202262977452e-18
"AT4G39640",1.91738973442699,6.73119221008884,3.33497892394403e-19,3.75679359067742e-18
"AT4G31550",1.94778274878066,5.87987978502778,3.45448528674736e-19,3.88890961160361e-18
"AT5G65640",-2.70950138724794,2.10362059893403,3.62906194500687e-19,4.08281145331758e-18
"AT4G36945",2.00532471238555,4.87329381946632,3.63767120754282e-19,4.08986531970875e-18
"AT2G37950",-3.23592140831811,1.43611222728271,3.77554649140045e-19,4.24215162655231e-18
"AT1G31120",2.00888733114051,4.80763261388737,3.85914062829706e-19,4.33329194634024e-18
"AT5G27930",2.00873515760123,4.78155002170347,3.90199467137256e-19,4.37859902693238e-18
"AT4G37310",-2.01874352975947,4.69567538575364,4.19249434152362e-19,4.70156373142126e-18
"AT3G07960",2.36123613006137,2.81117471872903,4.27526619231259e-19,4.79131274616673e-18
"AT3G29670",-3.10718349728047,1.53917425236578,4.68817815491704e-19,5.25069946716301e-18
"AT1G67850",2.0126853232969,4.66965896966459,4.70034367390696e-19,5.2609544462814e-18
"AT3G54150",3.2458836766634,1.35023240459268,5.29185019204094e-19,5.91922053150683e-18
"AT5G52580",1.92412521838426,5.94414147403951,5.30619118271667e-19,5.93146678052657e-18
"AT2G32130",9.27897381247193,0.134275503251126,5.99835766509232e-19,6.70091291110601e-18
"AT1G18740",1.94570049094331,5.57458393669763,6.2198312220567e-19,6.94388947989894e-18
"AT5G48490",-4.07266939849737,0.879104815918193,6.29504678425831e-19,7.02337606440256e-18
"AT4G19140",2.01728182097393,4.51750858557895,6.641976408811e-19,7.40571897673741e-18
"AT5G61210",1.89343658352505,7.15270183051127,6.66333980906504e-19,7.42480368909395e-18
"AT4G29440",1.9508745732079,5.44181516849453,6.82724174632711e-19,7.60259028350553e-18
"AT1G25250",2.3308107490726,2.86685230495285,6.85222909832626e-19,7.62555832756448e-18
"AT5G62680",1.89859896349927,6.73599144661537,6.9877853310263e-19,7.77146634493211e-18
"AT1G70000",2.09619227938602,3.88193629900626,7.1391675952001e-19,7.93477858022145e-18
"AT3G05840",1.88169481776322,8.15331128939202,7.27340934382494e-19,8.07884469873516e-18
"AT1G26800",-3.25264533860403,1.37086171377259,7.57729263695538e-19,8.41103537599308e-18
"AT4G34250",-2.42487259184882,2.61031545297587,7.60280848997719e-19,8.43400385978879e-18
"AT4G37450",1.90708660998353,6.20047457553922,7.82144954367073e-19,8.67104644083674e-18
"AT4G28350",2.75022955079551,1.89756418141373,7.86961010864674e-19,8.71797546616791e-18
"AT1G47580",-2.10742953195537,3.84510507538636,7.8737535097404e-19,8.71797546616791e-18
"AT5G24110",6.27036296994314,0.269441427664348,8.32003257515756e-19,9.2062740197139e-18
"AT2G19800",2.47498878771639,2.46110016344989,8.34305277379463e-19,9.22590712487359e-18
"AT4G37760",1.95059673376113,5.32624194233944,8.45549887832101e-19,9.34434177558067e-18
"AT5G25190",-2.63181063136474,2.17257125241729,8.46182995788846e-19,9.34543102676967e-18
"AT5G66770",-2.18998432502541,3.40412368922733,8.48324679359092e-19,9.3631694250221e-18
"AT3G07780",1.89104097703233,6.88550726806884,8.53100025384992e-19,9.40993548505099e-18
"AT2G29290",-1.92679181222472,5.81443924514987,9.24648304533659e-19,1.01927025902661e-17
"AT3G15990",9.25527042684095,0.111575614383395,9.40651542934938e-19,1.03625777726097e-17
"AT1G70690",2.56274289191322,2.23739097252089,9.47461665516378e-19,1.04310278956063e-17
"AT2G42300",-2.06570354300664,4.06826845649048,1.07264584382465e-18,1.18018044604068e-17
"AT1G63350",2.16084679492868,3.44406280285122,1.13167563879605e-18,1.24434498069631e-17
